Frame,Visibility,X,Y
553,-1,915,268
554,-1,915,268
555,-1,915,268
556,-1,915,268
557,-1,915,268
558,-1,915,268
559,-1,915,268
560,-1,915,268
561,-1,915,268
562,-1,915,268
563,-1,915,268
564,-1,915,268
565,-1,915,268
566,-1,915,268
567,-1,915,268
568,-1,915,268
569,-1,915,268
570,-1,915,268
571,-1,915,268
572,-1,915,268
573,-1,915,268
574,-1,915,268
575,-1,915,268
576,-1,915,268
577,-1,915,268
578,-1,915,268
579,-1,915,268
580,-1,915,268
581,-1,915,268
582,-1,915,268
583,-1,984,335
584,-1,1013,367
585,-1,1016,414
586,-1,1043,432
587,-1,1071,465
588,-1,1098,485
589,-1,1109,509
590,-1,1113,528
591,-1,1117,545
592,-1,1112,560
593,-1,1106,573
594,-1,1093,587
595,-1,1084,604
596,-1,1074,621
597,-1,1063,641
598,-1,1054,660
599,-1,1044,679
600,-1,1035,702
601,-1,1024,725
602,-1,1020,741
603,-1,1005,769
604,-1,1001,779
605,-1,994,765
606,-1,990,749
607,-1,609,632
608,-1,109,495
609,-1,105,489
610,-1,101,483
611,-1,99,480
612,-1,94,478
613,-1,92,474
614,-1,90,474
615,-1,90,474
616,-1,90,475
617,-1,94,479
618,-1,94,483
619,-1,96,490
620,-1,96,495
621,-1,101,503
622,-1,105,513
623,-1,107,523
624,-1,109,529
625,-1,103,514
626,-1,99,503
627,-1,302,532
628,-1,334,524
629,-1,383,508
630,-1,429,450
631,-1,469,393
632,-1,482,347
633,-1,469,307
634,-1,448,262
635,-1,423,238
636,-1,418,226
637,-1,409,235
638,-1,412,239
639,-1,417,240
640,-1,420,249
641,-1,428,252
642,-1,428,251
643,-1,427,249
644,-1,86,494
645,-1,90,505
646,-1,99,521
647,-1,105,536
648,-1,200,578
649,-1,96,524
650,-1,88,508
651,-1,75,489
652,-1,69,474
653,-1,64,468
654,-1,53,445
655,-1,45,436
656,-1,43,425
657,-1,38,417
658,-1,32,412
659,-1,30,406
660,-1,27,402
661,-1,23,398
662,-1,23,398
663,-1,23,398
664,-1,23,398
665,-1,23,398
666,-1,23,406
667,-1,23,410
668,-1,27,417
669,-1,30,425
670,-1,32,436
671,-1,37,445
672,-1,248,521
673,-1,316,548
674,-1,393,615
675,-1,457,665
676,-1,549,716
677,-1,594,755
678,-1,635,787
679,-1,633,809
680,-1,638,825
681,-1,660,837
682,-1,683,849
683,-1,705,857
684,-1,725,871
685,-1,735,870
686,-1,740,851
687,-1,743,837
688,-1,745,825
689,-1,750,811
690,-1,745,800
691,-1,763,791
692,-1,766,785
693,-1,781,779
694,-1,805,712
695,-1,806,708
696,-1,804,688
697,-1,826,683
